« division|jornada|fecha|hora|local|visita|golesLocal|golesVisita|estadio
« Fuente: anfaterceradivision.cl (calendario oficial). Capturado 2026-08-24.
« 546 partidos = 182 por division (14 equipos, todos contra todos ida y vuelta).
« Sin goles + con fecha pasada = partido suspendido. Sin goles + sin fecha = por programar.
« Las fechas 21, 22 y 23 de Tercera A llevan dia y hora confirmados por Sofascore.
Tercera A Nacional|1|2026-04-11|16:00|Naval|Futuro FC|0|0|El Morro
Tercera A Nacional|1|2026-04-11|15:30|Deportes Rancagua|Chimbarongo FC|3|1|Patricio Mekis
Tercera A Nacional|1|2026-04-10|20:00|Municipal Puente Alto|Malleco Unido|1|1|Municipal Puente Alto
Tercera A Nacional|1|2026-04-11|17:00|Constitución Unido|Imperial Unido|0|1|Enrique Donn Muller
Tercera A Nacional|1|2026-04-10|17:00|Aguará FC|Rodelindo Román|3|0|Complejo Lo Hermida
Tercera A Nacional|1|2026-04-11|19:00|Comunal Cabrero|Quintero Unido|1|4|Luis Figueroa
Tercera A Nacional|1|2026-04-11|16:00|Atlético Oriente|Lautaro|5|1|Municipal Lo Barnechea
Tercera A Nacional|2|2026-04-19|15:30|Futuro FC|Lautaro|0|2|Municipal de Peñalolén
Tercera A Nacional|2|2026-04-18|18:00|Quintero Unido|Atlético Oriente|3|0|Municipal de Quintero
Tercera A Nacional|2|2026-04-18|12:00|Rodelindo Román|Comunal Cabrero|1|0|Municipal San Gregorio
Tercera A Nacional|2|2026-04-17|20:00|Imperial Unido|Aguará FC|1|3|Municipal El Alto
Tercera A Nacional|2|2026-04-19|16:00|Malleco Unido|Constitución Unido|2|3|Alberto Larraguibel
Tercera A Nacional|2|2026-04-18|16:00|Chimbarongo FC|Municipal Puente Alto|2|1|Municipal de Chimbarongo
Tercera A Nacional|2|2026-04-18|16:00|Naval|Deportes Rancagua|4|0|El Morro
Tercera A Nacional|3|2026-04-25|15:30|Deportes Rancagua|Futuro FC|1|2|Patricio Mekis
Tercera A Nacional|3|2026-04-24|20:00|Municipal Puente Alto|Naval|2|0|Municipal Puente Alto
Tercera A Nacional|3|2026-04-25|16:00|Constitución Unido|Chimbarongo FC|2|1|Enrique Donn Muller
Tercera A Nacional|3|2026-04-24|17:00|Aguará FC|Malleco Unido|1|1|Complejo Lo Hermida
Tercera A Nacional|3|2026-04-25|18:00|Comunal Cabrero|Imperial Unido|1|4|Luis Figueroa
Tercera A Nacional|3|2026-04-25|16:00|Atlético Oriente|Rodelindo Román|0|2|Municipal Lo Barnechea
Tercera A Nacional|3|2026-04-25|12:00|Lautaro|Quintero Unido|1|0|Lautaro de Buin
Tercera A Nacional|4|2026-05-03|15:30|Futuro FC|Quintero Unido|1|4|Municipal de Peñalolén
Tercera A Nacional|4|2026-05-02|12:00|Rodelindo Román|Lautaro|1|1|Municipal San Gregorio
Tercera A Nacional|4|2026-05-01|16:00|Imperial Unido|Atlético Oriente|3|1|Municipal El Alto
Tercera A Nacional|4|2026-05-03|16:00|Malleco Unido|Comunal Cabrero|1|0|Alberto Larraguibel
Tercera A Nacional|4|2026-05-02|15:30|Chimbarongo FC|Aguará FC|1|1|Municipal de Chimbarongo
Tercera A Nacional|4|2026-05-01|15:30|Naval|Constitución Unido|1|0|El Morro
Tercera A Nacional|4|2026-05-02|15:30|Deportes Rancagua|Municipal Puente Alto|1|0|Patricio Mekis
Tercera A Nacional|5|2026-05-08|20:00|Municipal Puente Alto|Futuro FC|0|0|Municipal Puente Alto
Tercera A Nacional|5|2026-05-09|17:00|Constitución Unido|Deportes Rancagua|0|0|Enrique Donn Muller
Tercera A Nacional|5|2026-05-08|13:00|Aguará FC|Naval|2|2|Complejo Lo Hermida
Tercera A Nacional|5|2026-05-09|12:00|Comunal Cabrero|Chimbarongo FC|4|0|Luis Figueroa
Tercera A Nacional|5|2026-05-09|16:00|Atlético Oriente|Malleco Unido|0|1|Municipal Lo Barnechea
Tercera A Nacional|5|2026-05-09|15:00|Lautaro|Imperial Unido|1|0|Lautaro de Buin
Tercera A Nacional|5|2026-05-09|18:00|Quintero Unido|Rodelindo Román|0|0|Raúl Vargas
Tercera A Nacional|6|2026-05-17|15:30|Futuro FC|Rodelindo Román|3|1|Municipal de Peñalolén
Tercera A Nacional|6|2026-05-16|15:00|Imperial Unido|Quintero Unido|0|2|Diego Portales
Tercera A Nacional|6|2026-05-17|15:30|Malleco Unido|Lautaro|0|1|Alberto Larraguibel
Tercera A Nacional|6|2026-05-16|15:30|Chimbarongo FC|Atlético Oriente|2|3|Municipal de Chimbarongo
Tercera A Nacional|6|2026-05-16|15:30|Naval|Comunal Cabrero|2|1|El Morro
Tercera A Nacional|6|2026-05-16|15:30|Deportes Rancagua|Aguará FC|0|1|Patricio Mekis
Tercera A Nacional|6|2026-05-15|20:00|Municipal Puente Alto|Constitución Unido|2|3|Municipal Puente Alto
Tercera A Nacional|7|2026-05-23|16:30|Constitución Unido|Futuro FC|4|2|Enrique Donn Muller
Tercera A Nacional|7|2026-05-23|11:00|Aguará FC|Municipal Puente Alto|0|0|Bernardo O'Higgins
Tercera A Nacional|7|2026-05-23|12:00|Comunal Cabrero|Deportes Rancagua|3|2|Luis Figueroa
Tercera A Nacional|7|2026-05-23|16:00|Atlético Oriente|Naval|2|1|Municipal Lo Barnechea
Tercera A Nacional|7|2026-05-23|12:00|Lautaro|Chimbarongo FC|3|1|Lautaro de Buin
Tercera A Nacional|7|2026-05-23|18:00|Quintero Unido|Malleco Unido|2|2|Raúl Vargas
Tercera A Nacional|7|2026-05-23|12:00|Rodelindo Román|Imperial Unido|1|2|Municipal San Gregorio
Tercera A Nacional|8|2026-05-31|15:30|Futuro FC|Imperial Unido|1|1|Municipal de Peñalolén
Tercera A Nacional|8|2026-05-30|12:00|Malleco Unido|Rodelindo Román|2|0|Alberto Larraguibel
Tercera A Nacional|8|2026-05-30|12:00|Chimbarongo FC|Quintero Unido|2|1|Municipal de Chimbarongo
Tercera A Nacional|8|2026-05-30|15:30|Naval|Lautaro|1|2|El Morro
Tercera A Nacional|8|2026-05-30|15:30|Deportes Rancagua|Atlético Oriente|1|2|Patricio Mekis
Tercera A Nacional|8|2026-05-29|20:00|Municipal Puente Alto|Comunal Cabrero|1|1|Municipal Puente Alto
Tercera A Nacional|8|2026-05-30|16:30|Constitución Unido|Aguará FC|1|2|Enrique Donn Muller
Tercera A Nacional|9|2026-06-07|16:00|Aguará FC|Futuro FC|2|0|Municipal de Peñalolén
Tercera A Nacional|9|2026-06-06|17:00|Comunal Cabrero|Constitución Unido|1|0|Luis Figueroa
Tercera A Nacional|9|2026-06-06|16:00|Atlético Oriente|Municipal Puente Alto|3|2|Municipal Lo Barnechea
Tercera A Nacional|9|2026-06-06|12:00|Lautaro|Deportes Rancagua|0|2|Lautaro de Buin
Tercera A Nacional|9|2026-06-06|17:00|Quintero Unido|Naval|1|0|Raúl Vargas
Tercera A Nacional|9|2026-06-06|12:00|Rodelindo Román|Chimbarongo FC|1|1|Municipal San Gregorio
Tercera A Nacional|9|2026-06-07|13:00|Imperial Unido|Malleco Unido|2|3|Municipal El Alto
Tercera A Nacional|10|2026-06-14|15:30|Futuro FC|Malleco Unido|1|4|Municipal de Peñalolén
Tercera A Nacional|10|2026-06-13|12:00|Chimbarongo FC|Imperial Unido|3|0|Municipal de Chimbarongo
Tercera A Nacional|10|2026-06-13|15:00|Naval|Rodelindo Román|4|0|El Morro
Tercera A Nacional|10|2026-06-13|12:00|Deportes Rancagua|Quintero Unido|1|1|Patricio Mekis
Tercera A Nacional|10|2026-06-12|20:00|Municipal Puente Alto|Lautaro|1|3|Municipal Puente Alto
Tercera A Nacional|10|2026-06-13|16:00|Constitución Unido|Atlético Oriente|5|0|Enrique Donn Muller
Tercera A Nacional|10|2026-06-13|17:00|Comunal Cabrero|Aguará FC|1|0|Luis Figueroa
Tercera A Nacional|11|2026-06-20|17:00|Comunal Cabrero|Futuro FC|1|0|Luis Figueroa
Tercera A Nacional|11|2026-06-20|16:00|Atlético Oriente|Aguará FC|2|1|Municipal Lo Barnechea
Tercera A Nacional|11|2026-06-20|12:00|Lautaro|Constitución Unido|2|2|Lautaro de Buin
Tercera A Nacional|11|2026-06-20|18:00|Quintero Unido|Municipal Puente Alto|4|1|Raúl Vargas
Tercera A Nacional|11|2026-06-20|12:00|Rodelindo Román|Deportes Rancagua|3|2|Municipal San Gregorio
Tercera A Nacional|11|2026-06-21|16:00|Imperial Unido|Naval|1|3|Municipal El Alto
Tercera A Nacional|11|2026-06-21|15:30|Malleco Unido|Chimbarongo FC|3|0|Alberto Larraguibel
Tercera A Nacional|12|2026-06-28|15:30|Futuro FC|Chimbarongo FC|0|0|Municipal de Peñalolén
Tercera A Nacional|12|2026-06-27|15:00|Naval|Malleco Unido|1|1|El Morro
Tercera A Nacional|12|2026-06-27|12:00|Deportes Rancagua|Imperial Unido|2|1|Patricio Mekis
Tercera A Nacional|12|2026-06-26|20:00|Municipal Puente Alto|Rodelindo Román|2|2|Municipal Puente Alto
Tercera A Nacional|12|2026-06-27|16:30|Constitución Unido|Quintero Unido|2|4|Enrique Donn Muller
Tercera A Nacional|12|2026-06-26|15:00|Aguará FC|Lautaro|1|1|Municipal de Peñalolén
Tercera A Nacional|12|2026-06-27|17:00|Comunal Cabrero|Atlético Oriente|3|2|Luis Figueroa
Tercera A Nacional|13|2026-07-04|16:00|Atlético Oriente|Futuro FC|1|1|Municipal Lo Barnechea
Tercera A Nacional|13|2026-07-04|12:00|Lautaro|Comunal Cabrero|1|5|Lautaro de Buin
Tercera A Nacional|13|2026-07-05|12:00|Quintero Unido|Aguará FC|1|1|Raúl Vargas
Tercera A Nacional|13|2026-07-04|12:00|Rodelindo Román|Constitución Unido|1|1|Municipal San Gregorio
Tercera A Nacional|13|2026-07-05|16:00|Imperial Unido|Municipal Puente Alto|0|1|Municipal El Alto
Tercera A Nacional|13|2026-07-05|15:30|Malleco Unido|Deportes Rancagua|3|1|Alberto Larraguibel
Tercera A Nacional|13|2026-07-04|12:00|Chimbarongo FC|Naval|0|1|Municipal de Chimbarongo
Tercera A Nacional|14|2026-07-12|15:30|Futuro FC|Naval|1|1|Municipal de Peñalolén
Tercera A Nacional|14|2026-07-11|12:00|Chimbarongo FC|Deportes Rancagua|1|1|Municipal de Chimbarongo
Tercera A Nacional|14|2026-07-12|15:30|Malleco Unido|Municipal Puente Alto|2|1|Alberto Larraguibel
